/Users/wuyueer/Desktop/logo rec/samplescomplex/2b962290-200e-42fa-8cc7-29a3eae0c807.jpg,"Mastercard"
/Users/wuyueer/Desktop/logo rec/samplescomplex/waldemar-HeaRo44zMeQ-unsplash.jpg,"Porsche"
/Users/wuyueer/Desktop/logo rec/samplescomplex/hu-jiarui-ScAaQVNIX04-unsplash.jpg,"Chanel"
/Users/wuyueer/Desktop/logo rec/samplescomplex/hu-jiarui-ScAaQVNIX04-unsplash.jpg,"Chanel"
/Users/wuyueer/Desktop/logo rec/samplescomplex/alexander-shatov-mr4JG4SYOF8-unsplash.jpg,"Instagram"
/Users/wuyueer/Desktop/logo rec/samplescomplex/alexander-shatov-mr4JG4SYOF8-unsplash.jpg,"Figma"
/Users/wuyueer/Desktop/logo rec/samplescomplex/alexander-shatov-mr4JG4SYOF8-unsplash.jpg,"Twitter"
/Users/wuyueer/Desktop/logo rec/samplescomplex/download-7 copy.png,"Xfinity"
/Users/wuyueer/Desktop/logo rec/samplescomplex/hu-jiarui-Luhg-tamGfA-unsplash.jpg,"McDonald's"
/Users/wuyueer/Desktop/logo rec/samplescomplex/hu-jiarui-Luhg-tamGfA-unsplash.jpg,"McDonald's"
/Users/wuyueer/Desktop/logo rec/samplescomplex/adrian-regeci-YFgzCJxtgEI-unsplash.jpg,"De'Longhi"
/Users/wuyueer/Desktop/logo rec/samplescomplex/bram-TFPAnxDBiqc-unsplash.jpg,"Deutsche Bahn"
/Users/wuyueer/Desktop/logo rec/samplescomplex/fourfour-5c3EBPftYDA-unsplash.jpg,"Uniqlo"
/Users/wuyueer/Desktop/logo rec/samplescomplex/fourfour-5c3EBPftYDA-unsplash.jpg,"Uniqlo"
/Users/wuyueer/Desktop/logo rec/samplescomplex/fourfour-5c3EBPftYDA-unsplash.jpg,"Samsung"
/Users/wuyueer/Desktop/logo rec/samplescomplex/fourfour-5c3EBPftYDA-unsplash.jpg,"Samsung"
/Users/wuyueer/Desktop/logo rec/samplescomplex/fourfour-5c3EBPftYDA-unsplash.jpg,"Samsung"
/Users/wuyueer/Desktop/logo rec/samplescomplex/chris-kursikowski-ze5wHM9kplc-unsplash.jpg,"Lamborghini"
/Users/wuyueer/Desktop/logo rec/samplescomplex/1640205885683 copy.png,"Amazon Web Services"
/Users/wuyueer/Desktop/logo rec/samplescomplex/sadman-nafis-oz5mlCJUCTI-unsplash.jpg,"Toyota"
/Users/wuyueer/Desktop/logo rec/samplescomplex/carlo-d-agnolo-dej1MKdTNW8-unsplash.jpg,"Ferrari S.p.A."
/Users/wuyueer/Desktop/logo rec/samplescomplex/carlo-d-agnolo-dej1MKdTNW8-unsplash.jpg,"Ferrari S.p.A."
/Users/wuyueer/Desktop/logo rec/samplescomplex/sara-kurfess-oqc0-tsBQ5g-unsplash.jpg,"Mercedes-Benz"
/Users/wuyueer/Desktop/logo rec/samplescomplex/saif71-com-davQi_4cQjI-unsplash.jpg,"LVMH"
/Users/wuyueer/Desktop/logo rec/samplescomplex/ismail-hadine-rsNbV-PiCHc-unsplash.jpg,"Burger King"
/Users/wuyueer/Desktop/logo rec/samplescomplex/mahavir-shah-RZIdbOoF6gw-unsplash.jpg,"Champion"
/Users/wuyueer/Desktop/logo rec/samplescomplex/images-2 copy.png,"Lenovo"
/Users/wuyueer/Desktop/logo rec/samplescomplex/caste-oihGFVX91_g-unsplash.jpg,"Lacoste"
/Users/wuyueer/Desktop/logo rec/samplescomplex/cartist-E6vUIpw7OtA-unsplash.jpg,"PlayStation Classic"
/Users/wuyueer/Desktop/logo rec/samplescomplex/afif-ramdhasuma-nULb0dh9fWc-unsplash.jpg,"H&M"
/Users/wuyueer/Desktop/logo rec/samplescomplex/jason-leung-tMh1DEUrzT4-unsplash.jpg,"Apple"
/Users/wuyueer/Desktop/logo rec/samplescomplex/download-8 copy.png,"Looker"
/Users/wuyueer/Desktop/logo rec/samplescomplex/download-9 copy.png,"SoFi"
/Users/wuyueer/Desktop/logo rec/samplescomplex/henry-co-WhIc1C6ppyE-unsplash.jpg,"New Balance"
/Users/wuyueer/Desktop/logo rec/samplescomplex/AppDynamics copy.png,"AppDynamics"
